Start,End
735500.2162,735500.2179
735500.564,735500.5641
735504.4718,735504.4718
735504.5211,735504.5226
735506.2607,735506.2607
735507.6612,735507.6626
735508.7236,735508.7699
735512.5234,735512.5277
735512.5789,735512.5972
735513.1784,735513.2474
735514.2501,735514.2501
735516.1092,735516.1092
735518.3016,735518.3029
735519.0852,735519.0852
735526.3096,735526.3218
735526.351,735526.3524
735527.2264,735527.2264
735527.4228,735527.4324
735527.5271,735527.5458
735527.568,735527.5999
735527.8654,735527.8654
735528.2295,735528.2337
735528.2824,735528.3016
735528.3301,735528.3301
735528.613,735528.6156
735530.0672,735530.1277
735530.2064,735530.217
735530.2565,735530.3308
735530.3524,735530.3782
735530.4148,735530.4186
735531.4859,735531.5404
735531.564,735531.5641
735531.6318,735531.6318
735533.3682,735533.3847
735533.4572,735533.4573
735533.8281,735533.8281
735533.8998,735533.8998
735533.9421,735533.9969
735534.1793,735534.1825
735534.2462,735534.2538
735534.395,735534.398
735534.4944,735534.4944
735535.1167,735535.1788
735535.3166,735535.3269
735535.4167,735535.4243
735535.46,735535.46
735536.4593,735536.4593
735537.4997,735537.4997
735538.1501,735538.1501
735539.5236,735539.5321
735540.2028,735540.2029
735540.228,735540.228
735540.3995,735540.3995
735540.5822,735540.5822
735542.1423,735542.1424
735542.9683,735542.9683
735542.9919,735542.9966
735543.1256,735543.1256
735543.1546,735543.1546
735543.2088,735543.2412
735544.1327,735544.1864
735544.2514,735544.3002
735544.3545,735544.3858
735544.4074,735544.4305
735544.4544,735544.4648
735544.5159,735544.516
735544.7142,735544.7142
735544.7929,735544.8367
735544.8688,735544.87
735545.0044,735545.0136
735545.0533,735545.073
735545.1158,735545.1281
735545.1537,735545.2032
735545.2634,735545.3153
735545.3536,735545.3553
735545.3952,735545.6354
735545.6575,735545.697
735546.2272,735546.2272
735546.5299,735546.5506
735546.578,735546.5782
735546.6438,735546.648
735546.7971,735546.9039
735546.9987,735546.9987
735547.1628,735547.1936
735547.2152,735547.2412
735547.2629,735547.2782
735547.3153,735547.3276
735547.3655,735547.3934
735547.4466,735547.48
735547.5112,735547.5273
735547.5778,735547.6192
735547.6802,735547.6803
735547.7067,735547.8582
735548.0098,735548.0099
735548.0946,735548.0946
735548.1452,735548.1779
735548.2496,735548.25
735548.3017,735548.3435
735550.1243,735550.1457
735550.1924,735550.2011
735551.1252,735551.2649
735551.3543,735551.3858
735551.4338,735551.5426
735552.0961,735552.0961
735552.1729,735552.1947
735552.2159,735552.2189
735552.2644,735552.2644
735553.6313,735553.6828
