Start,End
10/31/2013 4:05,10/31/2013 4:05
11/4/2013 20:24,11/4/2013 20:27
11/7/2013 10:00,11/7/2013 10:09
11/24/2013 6:06,11/24/2013 7:26
11/24/2013 12:09,11/24/2013 12:27
12/11/2013 13:25,12/11/2013 14:00
12/13/2013 20:27,12/13/2013 20:47
12/17/2013 4:52,12/17/2013 4:58
12/24/2013 20:14,12/24/2013 20:42
12/25/2013 19:28,12/25/2013 19:34
12/31/2013 17:09,12/31/2013 17:50
1/4/2014 13:35,1/4/2014 14:11
1/13/2014 5:10,1/13/2014 5:48
1/23/2014 13:32,1/23/2014 15:52
2/8/2014 22:58,2/9/2014 1:43
2/24/2014 8:13,2/24/2014 8:17
3/2/2014 13:42,3/2/2014 15:37
3/11/2014 22:22,3/11/2014 23:08
3/25/2014 18:16,3/25/2014 19:27
4/1/2014 1:54,4/1/2014 3:23
4/11/2014 5:02,4/11/2014 6:26
4/19/2014 17:33,4/19/2014 18:08
4/26/2014 23:44,4/27/2014 0:19
