Start,End
4/29/2014 16:25,4/29/2014 18:20
5/9/2014 13:10,5/9/2014 15:45
5/11/2014 1:31,5/11/2014 4:06
5/12/2014 20:29,5/12/2014 21:00
5/13/2014 1:10,5/13/2014 1:16
5/13/2014 20:45,5/13/2014 20:46
5/13/2014 22:24,5/13/2014 22:46
5/15/2014 5:46,5/15/2014 5:48
5/16/2014 2:15,5/16/2014 6:09
5/17/2014 14:53,5/17/2014 17:19
5/17/2014 18:34,5/17/2014 20:13
5/17/2014 18:38,5/17/2014 20:12
5/18/2014 5:17,5/18/2014 8:23
5/18/2014 9:09,5/18/2014 14:31
5/19/2014 0:29,5/19/2014 3:06
5/19/2014 6:07,5/19/2014 9:33
5/20/2014 16:21,5/20/2014 18:47
5/23/2014 21:22,5/23/2014 22:12
5/24/2014 18:35,5/24/2014 20:07
5/25/2014 6:00,5/25/2014 6:15
5/25/2014 7:41,5/25/2014 9:57
5/29/2014 3:18,5/29/2014 3:40
6/3/2014 15:56,6/3/2014 16:07
6/4/2014 3:04,6/4/2014 5:12
6/4/2014 8:16,6/4/2014 9:47
6/4/2014 11:01,6/4/2014 12:05
6/7/2014 9:22,6/7/2014 10:39
6/10/2014 20:39,6/11/2014 0:02
6/11/2014 0:56,6/11/2014 3:07
6/13/2014 9:44,6/13/2014 15:07
6/13/2014 16:53,6/13/2014 17:25
6/13/2014 20:33,6/13/2014 23:39
6/15/2014 5:06,6/15/2014 6:57
6/15/2014 8:36,6/15/2014 14:24
6/16/2014 20:06,6/16/2014 21:36
6/17/2014 2:36,6/17/2014 4:04
6/19/2014 5:22,6/19/2014 5:29
6/20/2014 11:05,6/20/2014 12:32
6/20/2014 19:14,6/20/2014 20:20
6/20/2014 22:01,6/20/2014 22:21
6/26/2014 15:58,6/26/2014 16:47
6/26/2014 22:02,6/26/2014 23:08
6/27/2014 19:56,6/27/2014 22:01
6/28/2014 19:02,6/28/2014 20:21
6/28/2014 21:02,6/28/2014 21:04
6/29/2014 3:01,6/29/2014 3:40
7/1/2014 23:44,7/2/2014 2:40
7/3/2014 13:55,7/3/2014 14:52
7/4/2014 17:26,7/4/2014 22:56
7/6/2014 21:23,7/6/2014 22:42
7/8/2014 4:01,7/8/2014 5:35
7/9/2014 19:05,7/9/2014 19:10
7/10/2014 2:38,7/10/2014 3:05
7/11/2014 10:24,7/11/2014 11:13
7/11/2014 12:36,7/11/2014 14:31
7/11/2014 15:22,7/11/2014 16:05
7/13/2014 20:44,7/13/2014 22:57
7/17/2014 1:22,7/17/2014 3:50
7/17/2014 5:22,7/17/2014 7:17
7/18/2014 10:00,7/18/2014 12:10
7/23/2014 0:10,7/23/2014 1:02
7/24/2014 2:06,7/24/2014 4:49
7/26/2014 8:29,7/26/2014 12:45
7/30/2014 8:23,7/30/2014 11:27
8/1/2014 6:37,8/1/2014 12:39
8/5/2014 8:38,8/5/2014 9:30
8/8/2014 3:51,8/8/2014 3:54
8/9/2014 4:40,8/9/2014 5:26
8/10/2014 18:51,8/10/2014 19:13
8/11/2014 3:02,8/11/2014 3:04
8/19/2014 3:37,8/19/2014 5:04
8/19/2014 6:28,8/19/2014 8:13
8/19/2014 10:16,8/19/2014 10:16
8/19/2014 15:37,8/19/2014 17:02
8/19/2014 19:15,8/19/2014 19:43
