tbin,latitude,longitude,chlor_a
4/27/2016,33.1875,-77.5125,0.163580391
4/28/2016,33.1875,-77.5125,0.46299512
4/29/2016,33.1875,-77.5125,0.19964526
4/30/2016,33.1875,-77.5125,NaN
5/1/2016,33.1875,-77.5125,0.196002178
5/2/2016,33.1875,-77.5125,0.152565683
5/3/2016,33.1875,-77.5125,0.195868837
5/4/2016,33.1875,-77.5125,0.321198366
5/5/2016,33.1875,-77.5125,NaN
5/6/2016,33.1875,-77.5125,NaN
5/7/2016,33.1875,-77.5125,0.234588574
5/8/2016,33.1875,-77.5125,0.250451214
5/9/2016,33.1875,-77.5125,0.2578687
5/10/2016,33.1875,-77.5125,NaN
5/11/2016,33.1875,-77.5125,0.301203268
5/12/2016,33.1875,-77.5125,0.302571938
5/13/2016,33.1875,-77.5125,0.423996753
5/14/2016,33.1875,-77.5125,0.261789096
5/15/2016,33.1875,-77.5125,NaN
5/16/2016,33.1875,-77.5125,NaN
5/17/2016,33.1875,-77.5125,NaN
5/18/2016,33.1875,-77.5125,NaN
5/19/2016,33.1875,-77.5125,0.24684983
5/20/2016,33.1875,-77.5125,NaN
5/21/2016,33.1875,-77.5125,NaN
5/22/2016,33.1875,-77.5125,NaN
5/23/2016,33.1875,-77.5125,0.153324795
5/24/2016,33.1875,-77.5125,0.237988439
5/25/2016,33.1875,-77.5125,0.221340529
5/26/2016,33.1875,-77.5125,NaN
5/27/2016,33.1875,-77.5125,0.222205639
5/28/2016,33.1875,-77.5125,NaN
5/29/2016,33.1875,-77.5125,0.197193452
5/30/2016,33.1875,-77.5125,0.143073297
5/31/2016,33.1875,-77.5125,NaN
6/1/2016,33.1875,-77.5125,NaN
6/2/2016,33.1875,-77.5125,0.151464341
6/3/2016,33.1875,-77.5125,0.140435757
6/4/2016,33.1875,-77.5125,0.162353469
6/5/2016,33.1875,-77.5125,0.226082973
6/6/2016,33.1875,-77.5125,NaN
6/7/2016,33.1875,-77.5125,0.298271443
6/8/2016,33.1875,-77.5125,0.205732697
6/9/2016,33.1875,-77.5125,0.199711572
6/10/2016,33.1875,-77.5125,0.198412858
6/11/2016,33.1875,-77.5125,NaN
6/12/2016,33.1875,-77.5125,0.234525573
6/13/2016,33.1875,-77.5125,0.207920576
6/14/2016,33.1875,-77.5125,0.188741551
6/15/2016,33.1875,-77.5125,0.15363653
6/16/2016,33.1875,-77.5125,NaN
6/17/2016,33.1875,-77.5125,NaN
6/18/2016,33.1875,-77.5125,0.165951634
6/19/2016,33.1875,-77.5125,0.184269908
6/20/2016,33.1875,-77.5125,0.202108955
6/21/2016,33.1875,-77.5125,0.143167983
6/22/2016,33.1875,-77.5125,NaN
6/23/2016,33.1875,-77.5125,0.146239832
6/24/2016,33.1875,-77.5125,NaN
6/25/2016,33.1875,-77.5125,NaN
6/26/2016,33.1875,-77.5125,NaN
6/27/2016,33.1875,-77.5125,NaN
6/28/2016,33.1875,-77.5125,0.158947974
6/29/2016,33.1875,-77.5125,NaN
6/30/2016,33.1875,-77.5125,0.195903685
7/1/2016,33.1875,-77.5125,NaN
7/2/2016,33.1875,-77.5125,NaN
7/3/2016,33.1875,-77.5125,NaN
7/4/2016,33.1875,-77.5125,0.191334627
7/5/2016,33.1875,-77.5125,0.2016181
7/6/2016,33.1875,-77.5125,0.222831783
7/7/2016,33.1875,-77.5125,0.261279529
7/8/2016,33.1875,-77.5125,NaN
7/9/2016,33.1875,-77.5125,0.402299304
7/10/2016,33.1875,-77.5125,0.2545498
7/11/2016,33.1875,-77.5125,NaN
7/12/2016,33.1875,-77.5125,0.471090409
7/13/2016,33.1875,-77.5125,NaN
7/14/2016,33.1875,-77.5125,0.398516926
7/15/2016,33.1875,-77.5125,0.313972321
7/16/2016,33.1875,-77.5125,0.236245285
7/17/2016,33.1875,-77.5125,NaN
7/18/2016,33.1875,-77.5125,0.245566853
7/19/2016,33.1875,-77.5125,0.261411946
7/20/2016,33.1875,-77.5125,0.3548269
7/21/2016,33.1875,-77.5125,0.297822685
7/22/2016,33.1875,-77.5125,0.240001269
7/23/2016,33.1875,-77.5125,0.309022875
7/24/2016,33.1875,-77.5125,NaN
7/25/2016,33.1875,-77.5125,0.357265763
7/26/2016,33.1875,-77.5125,0.257691954
7/27/2016,33.1875,-77.5125,0.453424966
7/28/2016,33.1875,-77.5125,0.497191379
7/29/2016,33.1875,-77.5125,NaN
7/30/2016,33.1875,-77.5125,0.560365922
7/31/2016,33.1875,-77.5125,0.470745148
8/1/2016,33.1875,-77.5125,0.502101689
8/2/2016,33.1875,-77.5125,0.387302713
8/3/2016,33.1875,-77.5125,NaN
8/4/2016,33.1875,-77.5125,0.5160566
8/5/2016,33.1875,-77.5125,NaN
8/6/2016,33.1875,-77.5125,0.533539467
8/7/2016,33.1875,-77.5125,0.406865114
8/8/2016,33.1875,-77.5125,0.402112397
8/9/2016,33.1875,-77.5125,NaN
8/10/2016,33.1875,-77.5125,0.379602682
8/11/2016,33.1875,-77.5125,0.292075859
8/12/2016,33.1875,-77.5125,0.297072279
8/13/2016,33.1875,-77.5125,NaN
8/14/2016,33.1875,-77.5125,NaN
8/15/2016,33.1875,-77.5125,0.303702449
8/16/2016,33.1875,-77.5125,0.22707334
8/17/2016,33.1875,-77.5125,0.293325534
8/18/2016,33.1875,-77.5125,0.314674845
8/19/2016,33.1875,-77.5125,0.320371209
8/20/2016,33.1875,-77.5125,0.460611271
8/21/2016,33.1875,-77.5125,0.271485754
8/22/2016,33.1875,-77.5125,0.273048483
8/23/2016,33.1875,-77.5125,0.184767194
8/24/2016,33.1875,-77.5125,0.197080981
8/25/2016,33.1875,-77.5125,NaN
8/26/2016,33.1875,-77.5125,0.140901814
8/27/2016,33.1875,-77.5125,0.133625223
8/28/2016,33.1875,-77.5125,0.087748306
8/29/2016,33.1875,-77.5125,0.15640383
8/30/2016,33.1875,-77.5125,NaN
8/31/2016,33.1875,-77.5125,NaN
9/1/2016,33.1875,-77.5125,NaN
9/2/2016,33.1875,-77.5125,NaN
9/3/2016,33.1875,-77.5125,0.210455954
9/4/2016,33.1875,-77.5125,0.542826197
9/5/2016,33.1875,-77.5125,0.25527877
9/6/2016,33.1875,-77.5125,0.526239498
9/7/2016,33.1875,-77.5125,0.351215173
9/8/2016,33.1875,-77.5125,0.434991228
9/9/2016,33.1875,-77.5125,0.329680052
