tbin,latitude,longitude,chlor_a
4/29/2016,32.94375,-75.95625,0.113743975
4/30/2016,32.94375,-75.95625,NaN
5/1/2016,32.94375,-75.95625,0.101337596
5/2/2016,32.94375,-75.95625,0.084121898
5/3/2016,32.94375,-75.95625,NaN
5/4/2016,32.94375,-75.95625,0.134908847
5/5/2016,32.94375,-75.95625,NaN
5/6/2016,32.94375,-75.95625,0.120345829
5/7/2016,32.94375,-75.95625,0.148554844
5/8/2016,32.94375,-75.95625,0.131175037
5/9/2016,32.94375,-75.95625,0.167525693
5/10/2016,32.94375,-75.95625,0.10645677
5/11/2016,32.94375,-75.95625,0.122044968
5/12/2016,32.94375,-75.95625,0.112906845
5/13/2016,32.94375,-75.95625,0.085201428
5/14/2016,32.94375,-75.95625,0.095025403
5/15/2016,32.94375,-75.95625,0.082581661
5/16/2016,32.94375,-75.95625,NaN
5/17/2016,32.94375,-75.95625,NaN
5/18/2016,32.94375,-75.95625,NaN
5/19/2016,32.94375,-75.95625,0.067658576
5/20/2016,32.94375,-75.95625,NaN
5/21/2016,32.94375,-75.95625,NaN
5/22/2016,32.94375,-75.95625,0.106900305
5/23/2016,32.94375,-75.95625,0.08192625
5/24/2016,32.94375,-75.95625,0.08577836
5/25/2016,32.94375,-75.95625,0.084082285
5/26/2016,32.94375,-75.95625,0.078723396
5/27/2016,32.94375,-75.95625,NaN
5/28/2016,32.94375,-75.95625,0.064656362
5/29/2016,32.94375,-75.95625,NaN
5/30/2016,32.94375,-75.95625,0.072055739
5/31/2016,32.94375,-75.95625,0.090186594
6/1/2016,32.94375,-75.95625,NaN
6/2/2016,32.94375,-75.95625,0.100463667
6/3/2016,32.94375,-75.95625,0.097094761
6/4/2016,32.94375,-75.95625,0.078275086
6/5/2016,32.94375,-75.95625,0.078611015
6/6/2016,32.94375,-75.95625,NaN
6/7/2016,32.94375,-75.95625,NaN
6/8/2016,32.94375,-75.95625,0.098781381
6/9/2016,32.94375,-75.95625,0.067700322
6/10/2016,32.94375,-75.95625,0.076683339
6/11/2016,32.94375,-75.95625,NaN
6/12/2016,32.94375,-75.95625,NaN
6/13/2016,32.94375,-75.95625,0.065072855
6/14/2016,32.94375,-75.95625,0.065143583
6/15/2016,32.94375,-75.95625,NaN
