tbin,chlor_a_BP,chlor_a_GS,SST_BP,SST_GS
4/29/2016,0.19964526,0.113743975,24.71622222,24.71777778
4/30/2016,NaN,NaN,25.136,25.02179461
5/1/2016,0.196002178,0.101337596,25.94377778,25.06989899
5/2/2016,0.152565683,0.084121898,26.15411111,25.31391582
5/3/2016,0.195868837,NaN,26.33922222,25.07157239
5/4/2016,0.321198366,0.134908847,26.43644444,24.82571717
5/5/2016,NaN,NaN,26.32255556,24.95647811
5/6/2016,NaN,0.120345829,26.12844444,24.74875758
5/7/2016,0.234588574,0.148554844,25.98844444,24.63847138
5/8/2016,0.250451214,0.131175037,25.884,24.67213468
5/9/2016,0.2578687,0.167525693,25.38122222,24.57285185
5/10/2016,NaN,0.10645677,25.39488889,24.5449798
5/11/2016,0.301203268,0.122044968,25.70833333,24.71382155
5/12/2016,0.302571938,0.112906845,25.81477778,24.6907138
5/13/2016,0.423996753,0.085201428,26.03855556,24.7890303
5/14/2016,0.261789096,0.095025403,25.89211111,25.24056229
5/15/2016,NaN,0.082581661,26.06422222,25.39752525
5/16/2016,NaN,NaN,26.25611111,25.13454545
5/17/2016,NaN,NaN,26.31344444,25.07232997
5/18/2016,NaN,NaN,26.26766667,25.19715152
5/19/2016,0.24684983,0.067658576,25.82488889,25.50715152
5/20/2016,NaN,NaN,25.73377778,26.84443434
5/21/2016,NaN,NaN,26.35055556,26.77578788
5/22/2016,NaN,0.106900305,27.19277778,26.83807407
5/23/2016,0.153324795,0.08192625,27.18955556,27.25758586
5/24/2016,0.237988439,0.08577836,27.23288889,27.09672054
5/25/2016,0.221340529,0.084082285,27.18755556,27.04704377
5/26/2016,NaN,0.078723396,27.051,27.14487205
5/27/2016,0.222205639,NaN,26.95911111,27.09420539
5/28/2016,NaN,0.064656362,27.00033333,27.02174747
5/29/2016,0.197193452,NaN,26.91288889,27.13836364
5/30/2016,0.143073297,0.072055739,26.93533333,27.3656229
5/31/2016,NaN,0.090186594,27.04011111,27.29596296
6/1/2016,NaN,NaN,26.94922222,27.4479697
6/2/2016,0.151464341,0.100463667,27.02088889,27.73507744
6/3/2016,0.140435757,0.097094761,27.39466667,27.90622222
6/4/2016,0.162353469,0.078275086,27.58333333,28.1230404
6/5/2016,0.226082973,0.078611015,27.60611111,28.15742424
6/6/2016,NaN,NaN,26.95611111,28.48283838
6/7/2016,0.298271443,NaN,27.32855556,28.46453535
6/8/2016,0.205732697,0.098781381,27.65955556,27.92331313
6/9/2016,0.199711572,0.067700322,28.70511111,27.80342761
6/10/2016,0.198412858,0.076683339,28.42744444,28.56825589
6/11/2016,NaN,NaN,28.18933333,28.60574747
6/12/2016,0.234525573,NaN,28.42177778,28.62508081
6/13/2016,0.207920576,0.065072855,28.92955556,28.5636229
6/14/2016,0.188741551,0.065143583,29.02711111,28.41204714
6/15/2016,0.15363653,NaN,28.55455556,28.35493603
6/16/2016,NaN,NaN,28.57544444,28.08127609
6/17/2016,NaN,NaN,28.53655556,28.11606734
6/18/2016,0.165951634,0.075841221,28.48144444,28.05460269
6/19/2016,0.184269908,0.082192017,28.63255556,27.91927273
6/20/2016,0.202108955,0.069205548,28.72311111,27.80039057
6/21/2016,0.143167983,0.083800502,28.54477778,28.04269697
6/22/2016,NaN,NaN,28.20366667,28.28328283
6/23/2016,0.146239832,0.087123374,28.15188889,28.35893603
6/24/2016,NaN,0.077932768,28.24411111,28.09154545
6/25/2016,NaN,NaN,28.02111111,28.26953535
6/26/2016,NaN,0.080400163,27.89711111,28.43068013
6/27/2016,NaN,NaN,27.92311111,28.82290572
6/28/2016,0.158947974,0.096358822,28.12488889,29.06083838
6/29/2016,NaN,NaN,28.92188889,29.00686869
6/30/2016,0.195903685,NaN,28.98311111,28.66587205
7/1/2016,NaN,NaN,28.932,28.36374747
7/2/2016,NaN,0.113405477,28.83977778,28.57541751
7/3/2016,NaN,NaN,28.73755556,28.67
7/4/2016,0.191334627,0.115556691,28.62188889,28.87726936
7/5/2016,0.2016181,0.109560566,28.52544444,28.8479899
7/6/2016,0.222831783,0.08625513,29.58488889,28.80023232
7/7/2016,0.261279529,0.090271453,29.60388889,28.89411448
7/8/2016,NaN,NaN,29.55144444,29.04735017
7/9/2016,0.402299304,0.123168384,29.64311111,29.06243434
7/10/2016,0.2545498,0.102681693,29.74055556,29.04288215
7/11/2016,NaN,0.070551648,29.93611111,29.04439057
7/12/2016,0.471090409,0.088820276,29.919,29.17194949
7/13/2016,NaN,NaN,30.03422222,29.94040741
7/14/2016,0.398516926,NaN,30.07033333,29.85915825
7/15/2016,0.313972321,0.074502626,30.27955556,29.94083838
7/16/2016,0.236245285,0.074972968,30.28777778,30.01236027
7/17/2016,NaN,0.073734873,30.306,29.91518519
7/18/2016,0.245566853,0.073526015,30.29777778,29.74611785
7/19/2016,0.261411946,NaN,30.48288889,29.67105051
7/20/2016,0.3548269,0.08524461,31.009,29.53522559
7/21/2016,0.297822685,0.106331109,30.96711111,29.55130976
7/22/2016,0.240001269,0.065927562,30.12533333,29.60977441
7/23/2016,0.309022875,0.079506313,29.98811111,29.73312121
7/24/2016,NaN,NaN,29.96444444,29.75085522
7/25/2016,0.357265763,0.079257121,30.32933333,29.73218519
7/26/2016,0.257691954,0.083041207,30.42777778,29.83024579
7/27/2016,0.453424966,0.087070155,30.20933333,29.86791582
7/28/2016,0.497191379,0.09052785,30.05277778,30.01925253
7/29/2016,NaN,NaN,30.41066667,29.97309764
7/30/2016,0.560365922,0.08637859,30.44588889,29.87111448
7/31/2016,0.470745148,0.138458172,30.38111111,30.09663636
8/1/2016,0.502101689,0.073404498,30.37277778,30.15012458
8/2/2016,0.387302713,0.093466378,30.32922222,30.2873771
8/3/2016,NaN,NaN,30.302,29.96851852
8/4/2016,0.5160566,NaN,30.35711111,28.91949832
8/5/2016,NaN,NaN,30.37666667,28.7933266
8/6/2016,0.533539467,NaN,30.05888889,28.76310438
8/7/2016,0.406865114,0.106417532,29.68055556,28.82883165
8/8/2016,0.402112397,0.085396197,29.524,29.09918182
8/9/2016,NaN,NaN,29.35966667,29.35510774
8/10/2016,0.379602682,0.092435091,29.32355556,29.36000673
8/11/2016,0.292075859,0.070353479,29.32866667,29.27416498
8/12/2016,0.297072279,0.072868453,29.18855556,29.29566667
8/13/2016,NaN,NaN,29.09544444,29.89991919
8/14/2016,NaN,0.070931956,29.07688889,30.03600673
8/15/2016,0.303702449,0.072127815,30.16077778,30.2119697
8/16/2016,0.22707334,0.068079507,30.27566667,29.95206397
8/17/2016,0.293325534,0.055733074,29.96511111,29.85621886
8/18/2016,0.314674845,0.062216943,29.77611111,29.7940101
8/19/2016,0.320371209,0.084289873,30.04966667,29.79557912
8/20/2016,0.460611271,NaN,30.28555556,29.53516162
8/21/2016,0.271485754,0.111825167,30.28455556,29.47036364
8/22/2016,0.273048483,0.065168215,30.15533333,29.82979125
8/23/2016,0.184767194,0.051178808,30.26155556,30.15284512
8/24/2016,0.197080981,0.056312513,30.028,30.03355219
8/25/2016,NaN,NaN,30.25833333,29.59660606
8/26/2016,0.140901814,0.07971481,30.14311111,29.54049158
8/27/2016,0.133625223,0.073059132,30.078,29.29015825
8/28/2016,0.087748306,0.063654588,30.05711111,29.27438384
8/29/2016,0.15640383,0.059724783,29.734,29.19955556
8/30/2016,NaN,0.064746589,29.04866667,29.11899327
8/31/2016,NaN,NaN,28.95155556,29.10923906
9/1/2016,NaN,NaN,28.95633333,28.96302357
9/2/2016,NaN,NaN,28.83977778,28.56238721
9/3/2016,0.210455954,0.088235412,28.68088889,27.93358923
9/4/2016,0.542826197,0.145651096,28.70988889,27.42320875
9/5/2016,0.25527877,NaN,28.70255556,27.1376835
9/6/2016,0.526239498,0.084662343,28.74411111,27.18811111
9/7/2016,0.351215173,0.081975495,28.945,27.57618182
9/8/2016,0.434991228,0.065329399,28.95822222,28.21440404
9/9/2016,0.329680052,0.088431544,29.14233333,28.75568013
