time,latitude,longitude,analysed_sst,analysis_error
UTC,degrees_north,degrees_east,degree_C,degree_C
2016-04-27T09:00:00Z,32.1,-77.1,24.671,0.4
2016-04-27T09:00:00Z,32.1,-77.09,24.661,0.4
2016-04-27T09:00:00Z,32.1,-77.08,24.656,0.4
2016-04-27T09:00:00Z,32.11,-77.1,24.727,0.4
2016-04-27T09:00:00Z,32.11,-77.09,24.715,0.4
2016-04-27T09:00:00Z,32.11,-77.08,24.704,0.4
2016-04-27T09:00:00Z,32.12,-77.1,24.784,0.4
2016-04-27T09:00:00Z,32.12,-77.09,24.771,0.4
2016-04-27T09:00:00Z,32.12,-77.08,24.757,0.4
2016-04-28T09:00:00Z,32.1,-77.1,25.1,0.39
2016-04-28T09:00:00Z,32.1,-77.09,25.118,0.39
2016-04-28T09:00:00Z,32.1,-77.08,25.134,0.39
2016-04-28T09:00:00Z,32.11,-77.1,25.121,0.39
2016-04-28T09:00:00Z,32.11,-77.09,25.137,0.39
2016-04-28T09:00:00Z,32.11,-77.08,25.151,0.39
2016-04-28T09:00:00Z,32.12,-77.1,25.141,0.39
2016-04-28T09:00:00Z,32.12,-77.09,25.155,0.39
2016-04-28T09:00:00Z,32.12,-77.08,25.167,0.39
2016-04-29T09:00:00Z,32.1,-77.1,25.945,0.39
2016-04-29T09:00:00Z,32.1,-77.09,25.953,0.39
2016-04-29T09:00:00Z,32.1,-77.08,25.958,0.39
2016-04-29T09:00:00Z,32.11,-77.1,25.938,0.39
2016-04-29T09:00:00Z,32.11,-77.09,25.945,0.39
2016-04-29T09:00:00Z,32.11,-77.08,25.951,0.39
2016-04-29T09:00:00Z,32.12,-77.1,25.928,0.39
2016-04-29T09:00:00Z,32.12,-77.09,25.935,0.39
2016-04-29T09:00:00Z,32.12,-77.08,25.941,0.39
2016-04-30T09:00:00Z,32.1,-77.1,26.154,0.39
2016-04-30T09:00:00Z,32.1,-77.09,26.155,0.39
2016-04-30T09:00:00Z,32.1,-77.08,26.155,0.39
2016-04-30T09:00:00Z,32.11,-77.1,26.151,0.39
2016-04-30T09:00:00Z,32.11,-77.09,26.155,0.39
2016-04-30T09:00:00Z,32.11,-77.08,26.157,0.39
2016-04-30T09:00:00Z,32.12,-77.1,26.148,0.39
2016-04-30T09:00:00Z,32.12,-77.09,26.154,0.39
2016-04-30T09:00:00Z,32.12,-77.08,26.158,0.39
2016-05-01T09:00:00Z,32.1,-77.1,26.353,0.39
2016-05-01T09:00:00Z,32.1,-77.09,26.354,0.39
2016-05-01T09:00:00Z,32.1,-77.08,26.353,0.39
2016-05-01T09:00:00Z,32.11,-77.1,26.337,0.39
2016-05-01T09:00:00Z,32.11,-77.09,26.339,0.39
2016-05-01T09:00:00Z,32.11,-77.08,26.341,0.39
2016-05-01T09:00:00Z,32.12,-77.1,26.321,0.39
2016-05-01T09:00:00Z,32.12,-77.09,26.326,0.39
2016-05-01T09:00:00Z,32.12,-77.08,26.329,0.39
2016-05-02T09:00:00Z,32.1,-77.1,26.478,0.39
2016-05-02T09:00:00Z,32.1,-77.09,26.48,0.39
2016-05-02T09:00:00Z,32.1,-77.08,26.48,0.39
2016-05-02T09:00:00Z,32.11,-77.1,26.436,0.39
2016-05-02T09:00:00Z,32.11,-77.09,26.437,0.39
2016-05-02T09:00:00Z,32.11,-77.08,26.437,0.39
2016-05-02T09:00:00Z,32.12,-77.1,26.392,0.39
2016-05-02T09:00:00Z,32.12,-77.09,26.394,0.39
2016-05-02T09:00:00Z,32.12,-77.08,26.394,0.39
2016-05-03T09:00:00Z,32.1,-77.1,26.38,0.4
2016-05-03T09:00:00Z,32.1,-77.09,26.374,0.4
2016-05-03T09:00:00Z,32.1,-77.08,26.367,0.4
2016-05-03T09:00:00Z,32.11,-77.1,26.33,0.4
2016-05-03T09:00:00Z,32.11,-77.09,26.323,0.4
2016-05-03T09:00:00Z,32.11,-77.08,26.316,0.4
2016-05-03T09:00:00Z,32.12,-77.1,26.278,0.4
2016-05-03T09:00:00Z,32.12,-77.09,26.271,0.4
2016-05-03T09:00:00Z,32.12,-77.08,26.264,0.4
2016-05-04T09:00:00Z,32.1,-77.1,26.115,0.4
2016-05-04T09:00:00Z,32.1,-77.09,26.101,0.4
2016-05-04T09:00:00Z,32.1,-77.08,26.09,0.4
2016-05-04T09:00:00Z,32.11,-77.1,26.143,0.4
2016-05-04T09:00:00Z,32.11,-77.09,26.128,0.4
2016-05-04T09:00:00Z,32.11,-77.08,26.116,0.4
2016-05-04T09:00:00Z,32.12,-77.1,26.169,0.4
2016-05-04T09:00:00Z,32.12,-77.09,26.154,0.4
2016-05-04T09:00:00Z,32.12,-77.08,26.14,0.4
2016-05-05T09:00:00Z,32.1,-77.1,25.928,0.39
2016-05-05T09:00:00Z,32.1,-77.09,25.898,0.39
2016-05-05T09:00:00Z,32.1,-77.08,25.877,0.39
2016-05-05T09:00:00Z,32.11,-77.1,26.016,0.39
2016-05-05T09:00:00Z,32.11,-77.09,25.982,0.39
2016-05-05T09:00:00Z,32.11,-77.08,25.958,0.39
2016-05-05T09:00:00Z,32.12,-77.1,26.115,0.39
2016-05-05T09:00:00Z,32.12,-77.09,26.076,0.39
2016-05-05T09:00:00Z,32.12,-77.08,26.046,0.39
2016-05-06T09:00:00Z,32.1,-77.1,25.835,0.39
2016-05-06T09:00:00Z,32.1,-77.09,25.803,0.39
2016-05-06T09:00:00Z,32.1,-77.08,25.778,0.39
2016-05-06T09:00:00Z,32.11,-77.1,25.917,0.39
2016-05-06T09:00:00Z,32.11,-77.09,25.878,0.39
2016-05-06T09:00:00Z,32.11,-77.08,25.846,0.39
2016-05-06T09:00:00Z,32.12,-77.1,26.011,0.39
2016-05-06T09:00:00Z,32.12,-77.09,25.964,0.39
2016-05-06T09:00:00Z,32.12,-77.08,25.924,0.39
2016-05-07T09:00:00Z,32.1,-77.1,25.392,0.38
2016-05-07T09:00:00Z,32.1,-77.09,25.379,0.38
2016-05-07T09:00:00Z,32.1,-77.08,25.369,0.38
2016-05-07T09:00:00Z,32.11,-77.1,25.393,0.38
2016-05-07T09:00:00Z,32.11,-77.09,25.376,0.38
2016-05-07T09:00:00Z,32.11,-77.08,25.365,0.38
2016-05-07T09:00:00Z,32.12,-77.1,25.403,0.38
2016-05-07T09:00:00Z,32.12,-77.09,25.383,0.38
2016-05-07T09:00:00Z,32.12,-77.08,25.371,0.38
2016-05-08T09:00:00Z,32.1,-77.1,25.408,0.37
2016-05-08T09:00:00Z,32.1,-77.09,25.4,0.37
2016-05-08T09:00:00Z,32.1,-77.08,25.4,0.37
