tbin,latitude,longitude,analysed_sst,analysis_error
4/27/2016,32.11,-77.09,24.71622222,0.4
4/28/2016,32.11,-77.09,25.136,0.39
4/29/2016,32.11,-77.09,25.94377778,0.39
4/30/2016,32.11,-77.09,26.15411111,0.39
5/1/2016,32.11,-77.09,26.33922222,0.39
5/2/2016,32.11,-77.09,26.43644444,0.39
5/3/2016,32.11,-77.09,26.32255556,0.4
5/4/2016,32.11,-77.09,26.12844444,0.4
5/5/2016,32.11,-77.09,25.98844444,0.39
5/6/2016,32.11,-77.09,25.884,0.39
5/7/2016,32.11,-77.09,25.38122222,0.38
5/8/2016,32.11,-77.09,25.39488889,0.37
5/9/2016,32.11,-77.09,25.70833333,0.37
5/10/2016,32.11,-77.09,25.81477778,0.38
5/11/2016,32.11,-77.09,26.03855556,0.38
5/12/2016,32.11,-77.09,25.89211111,0.37
5/13/2016,32.11,-77.09,26.06422222,0.38
5/14/2016,32.11,-77.09,26.25611111,0.37
5/15/2016,32.11,-77.09,26.31344444,0.37
5/16/2016,32.11,-77.09,26.26766667,0.38
5/17/2016,32.11,-77.09,25.82488889,0.39
5/18/2016,32.11,-77.09,25.73377778,0.4
5/19/2016,32.11,-77.09,26.35055556,0.41
5/20/2016,32.11,-77.09,27.19277778,0.4
5/21/2016,32.11,-77.09,27.18955556,0.39
5/22/2016,32.11,-77.09,27.23288889,0.39
5/23/2016,32.11,-77.09,27.18755556,0.386666667
5/24/2016,32.11,-77.09,27.051,0.39
5/25/2016,32.11,-77.09,26.95911111,0.38
5/26/2016,32.11,-77.09,27.00033333,0.37
5/27/2016,32.11,-77.09,26.91288889,0.38
5/28/2016,32.11,-77.09,26.93533333,0.39
5/29/2016,32.11,-77.09,27.04011111,0.39
5/30/2016,32.11,-77.09,26.94922222,0.39
5/31/2016,32.11,-77.09,27.02088889,0.39
6/1/2016,32.11,-77.09,27.39466667,0.38
6/2/2016,32.11,-77.09,27.58333333,0.38
6/3/2016,32.11,-77.09,27.60611111,0.37
6/4/2016,32.11,-77.09,26.95611111,0.37
6/5/2016,32.11,-77.09,27.32855556,0.37
6/6/2016,32.11,-77.09,27.65955556,0.38
6/7/2016,32.11,-77.09,28.70511111,0.38
6/8/2016,32.11,-77.09,28.42744444,0.37
6/9/2016,32.11,-77.09,28.18933333,0.37
6/10/2016,32.11,-77.09,28.42177778,0.38
6/11/2016,32.11,-77.09,28.92955556,0.38
6/12/2016,32.11,-77.09,29.02711111,0.38
6/13/2016,32.11,-77.09,28.55455556,0.38
6/14/2016,32.11,-77.09,28.57544444,0.38
6/15/2016,32.11,-77.09,28.53655556,0.38
6/16/2016,32.11,-77.09,28.48144444,0.38
6/17/2016,32.11,-77.09,28.63255556,0.38
6/18/2016,32.11,-77.09,28.72311111,0.38
6/19/2016,32.11,-77.09,28.54477778,0.38
6/20/2016,32.11,-77.09,28.20366667,0.38
6/21/2016,32.11,-77.09,28.15188889,0.37
6/22/2016,32.11,-77.09,28.24411111,0.38
6/23/2016,32.11,-77.09,28.02111111,0.37
6/24/2016,32.11,-77.09,27.89711111,0.37
6/25/2016,32.11,-77.09,27.92311111,0.38
6/26/2016,32.11,-77.09,28.12488889,0.38
6/27/2016,32.11,-77.09,28.92188889,0.38
6/28/2016,32.11,-77.09,28.98311111,0.38
6/29/2016,32.11,-77.09,28.932,0.39
6/30/2016,32.11,-77.09,28.83977778,0.4
7/1/2016,32.11,-77.09,28.73755556,0.4
7/2/2016,32.11,-77.09,28.62188889,0.396666667
7/3/2016,32.11,-77.09,28.52544444,0.393333333
7/4/2016,32.11,-77.09,29.58488889,0.39
7/5/2016,32.11,-77.09,29.60388889,0.38
7/6/2016,32.11,-77.09,29.55144444,0.37
7/7/2016,32.11,-77.09,29.64311111,0.37
7/8/2016,32.11,-77.09,29.74055556,0.38
7/9/2016,32.11,-77.09,29.93611111,0.38
7/10/2016,32.11,-77.09,29.919,0.38
7/11/2016,32.11,-77.09,30.03422222,0.38
7/12/2016,32.11,-77.09,30.07033333,0.37
7/13/2016,32.11,-77.09,30.27955556,0.37
7/14/2016,32.11,-77.09,30.28777778,0.37
7/15/2016,32.11,-77.09,30.306,0.37
7/16/2016,32.11,-77.09,30.29777778,0.38
7/17/2016,32.11,-77.09,30.48288889,0.39
7/18/2016,32.11,-77.09,31.009,0.39
7/19/2016,32.11,-77.09,30.96711111,0.38
7/20/2016,32.11,-77.09,30.12533333,0.38
7/21/2016,32.11,-77.09,29.98811111,0.37
7/22/2016,32.11,-77.09,29.96444444,0.37
7/23/2016,32.11,-77.09,30.32933333,0.38
7/24/2016,32.11,-77.09,30.42777778,0.38
7/25/2016,32.11,-77.09,30.20933333,0.38
7/26/2016,32.11,-77.09,30.05277778,0.38
7/27/2016,32.11,-77.09,30.41066667,0.38
7/28/2016,32.11,-77.09,30.44588889,0.38
7/29/2016,32.11,-77.09,30.38111111,0.37
7/30/2016,32.11,-77.09,30.37277778,0.375555556
7/31/2016,32.11,-77.09,30.32922222,0.38
8/1/2016,32.11,-77.09,30.302,0.38
8/2/2016,32.11,-77.09,30.35711111,0.38
8/3/2016,32.11,-77.09,30.37666667,0.386666667
8/4/2016,32.11,-77.09,30.05888889,0.4
8/5/2016,32.11,-77.09,29.68055556,0.4
8/6/2016,32.11,-77.09,29.524,0.39
8/7/2016,32.11,-77.09,29.35966667,0.38
8/8/2016,32.11,-77.09,29.32355556,0.38
8/9/2016,32.11,-77.09,29.32866667,0.38
8/10/2016,32.11,-77.09,29.18855556,0.38
8/11/2016,32.11,-77.09,29.09544444,0.38
8/12/2016,32.11,-77.09,29.07688889,0.38
8/13/2016,32.11,-77.09,30.16077778,0.38
8/14/2016,32.11,-77.09,30.27566667,0.37
8/15/2016,32.11,-77.09,29.96511111,0.37
8/16/2016,32.11,-77.09,29.77611111,0.38
8/17/2016,32.11,-77.09,30.04966667,0.38
8/18/2016,32.11,-77.09,30.28555556,0.38
8/19/2016,32.11,-77.09,30.28455556,0.38
8/20/2016,32.11,-77.09,30.15533333,0.38
8/21/2016,32.11,-77.09,30.26155556,0.38
8/22/2016,32.11,-77.09,30.028,0.39
8/23/2016,32.11,-77.09,30.25833333,0.39
8/24/2016,32.11,-77.09,30.14311111,0.39
8/25/2016,32.11,-77.09,30.078,0.38
8/26/2016,32.11,-77.09,30.05711111,0.38
8/27/2016,32.11,-77.09,29.734,0.38
8/28/2016,32.11,-77.09,29.04866667,0.38
8/29/2016,32.11,-77.09,28.95155556,0.38
8/30/2016,32.11,-77.09,28.95633333,0.39
8/31/2016,32.11,-77.09,28.83977778,0.4
9/1/2016,32.11,-77.09,28.68088889,0.4
9/2/2016,32.11,-77.09,28.70988889,0.4
9/3/2016,32.11,-77.09,28.70255556,0.4
9/4/2016,32.11,-77.09,28.74411111,0.4
9/5/2016,32.11,-77.09,28.945,0.39
9/6/2016,32.11,-77.09,28.95822222,0.38
9/7/2016,32.11,-77.09,29.14233333,0.38
9/8/2016,32.11,-77.09,29.34722222,0.37
9/9/2016,32.11,-77.09,29.45844444,0.38
9/10/2016,32.11,-77.09,29.29888889,0.383333333
9/11/2016,32.11,-77.09,28.87733333,0.39
9/12/2016,32.11,-77.09,28.87966667,0.397777778
9/13/2016,32.11,-77.09,28.98433333,0.4
9/14/2016,32.11,-77.09,29.09088889,0.4
9/15/2016,32.11,-77.09,28.22477778,0.4
9/16/2016,32.11,-77.09,28.45788889,0.39
9/17/2016,32.11,-77.09,28.51055556,0.39
9/18/2016,32.11,-77.09,28.69644444,0.39
9/19/2016,32.11,-77.09,28.86388889,0.39
9/20/2016,32.11,-77.09,28.89444444,0.39
9/21/2016,32.11,-77.09,28.94211111,0.38
9/22/2016,32.11,-77.09,29.35755556,0.38
9/23/2016,32.11,-77.09,29.48811111,0.38
9/24/2016,32.11,-77.09,29.39633333,0.39
9/25/2016,32.11,-77.09,29.534,0.39
9/26/2016,32.11,-77.09,29.19422222,0.39
9/27/2016,32.11,-77.09,29.30355556,0.39
9/28/2016,32.11,-77.09,29.781,0.38
9/29/2016,32.11,-77.09,29.64933333,0.38
9/30/2016,32.11,-77.09,29.32566667,0.39
10/1/2016,32.11,-77.09,28.83388889,0.39
10/2/2016,32.11,-77.09,28.66433333,0.39
10/3/2016,32.11,-77.09,28.99066667,0.39
10/4/2016,32.11,-77.09,28.92033333,0.4
10/5/2016,32.11,-77.09,28.68033333,0.4
10/6/2016,32.11,-77.09,28.54311111,0.4
10/7/2016,32.11,-77.09,28.53044444,0.4
10/8/2016,32.11,-77.09,27.84477778,0.41
10/9/2016,32.11,-77.09,27.29544444,0.4
10/10/2016,32.11,-77.09,27.64633333,0.4
10/11/2016,32.11,-77.09,27.98211111,0.4
10/12/2016,32.11,-77.09,27.93988889,0.39
10/13/2016,32.11,-77.09,27.94722222,0.39
10/14/2016,32.11,-77.09,28.13855556,0.38
10/15/2016,32.11,-77.09,28.22744444,0.39
10/16/2016,32.11,-77.09,28.24688889,0.38
10/17/2016,32.11,-77.09,28.132,0.38
10/18/2016,32.11,-77.09,28.00011111,0.37
10/19/2016,32.11,-77.09,27.86533333,0.37
10/20/2016,32.11,-77.09,27.79888889,0.38
10/21/2016,32.11,-77.09,27.762,0.39
10/22/2016,32.11,-77.09,27.73955556,0.39
10/23/2016,32.11,-77.09,27.608,0.38
10/24/2016,32.11,-77.09,27.45966667,0.37
10/25/2016,32.11,-77.09,27.21288889,0.37
10/26/2016,32.11,-77.09,27.09388889,0.38
10/27/2016,32.11,-77.09,27.02388889,0.39
10/28/2016,32.11,-77.09,27.09844444,0.39
10/29/2016,32.11,-77.09,27.36533333,0.39
10/30/2016,32.11,-77.09,28.21244444,0.38
10/31/2016,32.11,-77.09,28.09733333,0.38
11/1/2016,32.11,-77.09,27.21255556,0.37
11/2/2016,32.11,-77.09,26.89722222,0.37
11/3/2016,32.11,-77.09,26.54288889,0.37
11/4/2016,32.11,-77.09,26.26755556,0.381111111
11/5/2016,32.11,-77.09,26.86277778,0.38
11/6/2016,32.11,-77.09,26.78788889,0.37
11/7/2016,32.11,-77.09,26.75355556,0.37
11/8/2016,32.11,-77.09,26.67988889,0.38
11/9/2016,32.11,-77.09,26.14433333,0.39
11/10/2016,32.11,-77.09,26.08922222,0.38
11/11/2016,32.11,-77.09,26.08388889,0.37
11/12/2016,32.11,-77.09,26.15144444,0.38
11/13/2016,32.11,-77.09,25.92244444,0.39
11/14/2016,32.11,-77.09,25.30766667,0.39
11/15/2016,32.11,-77.09,25.59822222,0.38
11/16/2016,32.11,-77.09,25.69188889,0.39
11/17/2016,32.11,-77.09,25.44477778,0.38
11/18/2016,32.11,-77.09,25.28888889,0.37
11/19/2016,32.11,-77.09,25.31522222,0.38
11/20/2016,32.11,-77.09,25.46077778,0.38
11/21/2016,32.11,-77.09,26.286,0.38
11/22/2016,32.11,-77.09,25.94366667,0.37
11/23/2016,32.11,-77.09,25.765,0.38
11/24/2016,32.11,-77.09,25.26255556,0.38
11/25/2016,32.11,-77.09,24.83966667,0.38
11/26/2016,32.11,-77.09,24.80833333,0.38
11/27/2016,32.11,-77.09,25.00877778,0.4
11/28/2016,32.11,-77.09,25.58377778,0.4
11/29/2016,32.11,-77.09,26.24033333,0.39
11/30/2016,32.11,-77.09,26.40811111,0.388888889
12/1/2016,32.11,-77.09,26.92666667,0.38
12/2/2016,32.11,-77.09,26.95233333,0.384444444
12/3/2016,32.11,-77.09,27.00022222,0.39
12/4/2016,32.11,-77.09,26.87911111,0.39
12/5/2016,32.11,-77.09,25.96944444,0.39
12/6/2016,32.11,-77.09,25.49788889,0.39
12/7/2016,32.11,-77.09,25.56111111,0.38
12/8/2016,32.11,-77.09,25.83677778,0.39
12/9/2016,32.11,-77.09,26.437,0.4
12/10/2016,32.11,-77.09,26.80266667,0.4
12/11/2016,32.11,-77.09,26.63866667,0.4
12/12/2016,32.11,-77.09,25.89022222,0.391111111
12/13/2016,32.11,-77.09,25.66988889,0.39
12/14/2016,32.11,-77.09,25.62033333,0.38
12/15/2016,32.11,-77.09,25.54344444,0.38
12/16/2016,32.11,-77.09,25.55666667,0.39
12/17/2016,32.11,-77.09,25.42088889,0.396666667
12/18/2016,32.11,-77.09,25.349,0.4
12/19/2016,32.11,-77.09,25.61244444,0.4
12/20/2016,32.11,-77.09,25.69944444,0.4
12/21/2016,32.11,-77.09,26.31944444,0.39
12/22/2016,32.11,-77.09,26.36122222,0.39
12/23/2016,32.11,-77.09,25.94677778,0.4
12/24/2016,32.11,-77.09,26.696,0.39
12/25/2016,32.11,-77.09,26.68244444,0.39
12/26/2016,32.11,-77.09,26.76655556,0.37
12/27/2016,32.11,-77.09,26.77888889,0.37
12/28/2016,32.11,-77.09,26.68911111,0.38
12/29/2016,32.11,-77.09,26.26722222,0.387777778
12/30/2016,32.11,-77.09,26.13788889,0.383333333
12/31/2016,32.11,-77.09,25.67022222,0.4
1/1/2017,32.11,-77.09,25.61166667,0.4
1/2/2017,32.11,-77.09,25.62466667,0.41
1/3/2017,32.11,-77.09,25.45744444,0.41
1/4/2017,32.11,-77.09,25.60122222,0.4
1/5/2017,32.11,-77.09,25.518,0.402222222
1/6/2017,32.11,-77.09,25.12988889,0.41
1/7/2017,32.11,-77.09,25.14,0.41
1/8/2017,32.11,-77.09,25.40222222,0.4
1/9/2017,32.11,-77.09,25.534,0.39
1/10/2017,32.11,-77.09,25.50222222,0.38
1/11/2017,32.11,-77.09,26.275,0.38
1/12/2017,32.11,-77.09,25.50155556,0.37
