tbin,latitude,longitude,analysed_sst,analysis_error
4/29/2016,33.67,-76.5,24.71777778,0.38
4/30/2016,33.67,-76.5,25.02179461,0.379360269
5/1/2016,33.67,-76.5,25.06989899,0.387070707
5/2/2016,33.67,-76.5,25.31391582,0.397272727
5/3/2016,33.67,-76.5,25.07157239,0.401212121
5/4/2016,33.67,-76.5,24.82571717,0.398821549
5/5/2016,33.67,-76.5,24.95647811,0.396902357
5/6/2016,33.67,-76.5,24.74875758,0.39016835
5/7/2016,33.67,-76.5,24.63847138,0.381279461
5/8/2016,33.67,-76.5,24.67213468,0.374478114
5/9/2016,33.67,-76.5,24.57285185,0.375084175
5/10/2016,33.67,-76.5,24.5449798,0.384309764
5/11/2016,33.67,-76.5,24.71382155,0.377205387
5/12/2016,33.67,-76.5,24.6907138,0.37
5/13/2016,33.67,-76.5,24.7890303,0.38
5/14/2016,33.67,-76.5,25.24056229,0.376127946
5/15/2016,33.67,-76.5,25.39752525,0.372760943
5/16/2016,33.67,-76.5,25.13454545,0.38
5/17/2016,33.67,-76.5,25.07232997,0.391010101
5/18/2016,33.67,-76.5,25.19715152,0.395353535
5/19/2016,33.67,-76.5,25.50715152,0.4003367
5/20/2016,33.67,-76.5,26.84443434,0.399494949
5/21/2016,33.67,-76.5,26.77578788,0.386397306
5/22/2016,33.67,-76.5,26.83807407,0.382255892
5/23/2016,33.67,-76.5,27.25758586,0.378181818
5/24/2016,33.67,-76.5,27.09672054,0.382626263
5/25/2016,33.67,-76.5,27.04704377,0.376127946
5/26/2016,33.67,-76.5,27.14487205,0.374747475
5/27/2016,33.67,-76.5,27.09420539,0.37962963
5/28/2016,33.67,-76.5,27.02174747,0.388888889
5/29/2016,33.67,-76.5,27.13836364,0.393939394
5/30/2016,33.67,-76.5,27.3656229,0.384713805
5/31/2016,33.67,-76.5,27.29596296,0.384242424
6/1/2016,33.67,-76.5,27.4479697,0.385521886
6/2/2016,33.67,-76.5,27.73507744,0.381784512
6/3/2016,33.67,-76.5,27.90622222,0.377710438
6/4/2016,33.67,-76.5,28.1230404,0.38
6/5/2016,33.67,-76.5,28.15742424,0.380639731
6/6/2016,33.67,-76.5,28.48283838,0.385252525
6/7/2016,33.67,-76.5,28.46453535,0.382491582
6/8/2016,33.67,-76.5,27.92331313,0.375218855
6/9/2016,33.67,-76.5,27.80342761,0.381649832
6/10/2016,33.67,-76.5,28.56825589,0.38
6/11/2016,33.67,-76.5,28.60574747,0.374545455
6/12/2016,33.67,-76.5,28.62508081,0.373232323
6/13/2016,33.67,-76.5,28.5636229,0.380740741
6/14/2016,33.67,-76.5,28.41204714,0.388114478
6/15/2016,33.67,-76.5,28.35493603,0.39
6/16/2016,33.67,-76.5,28.08127609,0.38
6/17/2016,33.67,-76.5,28.11606734,0.375016835
6/18/2016,33.67,-76.5,28.05460269,0.38
6/19/2016,33.67,-76.5,27.91927273,0.380909091
6/20/2016,33.67,-76.5,27.80039057,0.375454545
6/21/2016,33.67,-76.5,28.04269697,0.379292929
6/22/2016,33.67,-76.5,28.28328283,0.383434343
6/23/2016,33.67,-76.5,28.35893603,0.379023569
6/24/2016,33.67,-76.5,28.09154545,0.3796633
6/25/2016,33.67,-76.5,28.26953535,0.382424242
6/26/2016,33.67,-76.5,28.43068013,0.383198653
6/27/2016,33.67,-76.5,28.82290572,0.375892256
6/28/2016,33.67,-76.5,29.06083838,0.374545455
6/29/2016,33.67,-76.5,29.00686869,0.384713805
6/30/2016,33.67,-76.5,28.66587205,0.395016835
7/1/2016,33.67,-76.5,28.36374747,0.389191919
7/2/2016,33.67,-76.5,28.57541751,0.387373737
7/3/2016,33.67,-76.5,28.67,0.388181818
7/4/2016,33.67,-76.5,28.87726936,0.39
7/5/2016,33.67,-76.5,28.8479899,0.38
7/6/2016,33.67,-76.5,28.80023232,0.37
7/7/2016,33.67,-76.5,28.89411448,0.37
7/8/2016,33.67,-76.5,29.04735017,0.38
7/9/2016,33.67,-76.5,29.06243434,0.38
7/10/2016,33.67,-76.5,29.04288215,0.38
7/11/2016,33.67,-76.5,29.04439057,0.38
7/12/2016,33.67,-76.5,29.17194949,0.388383838
7/13/2016,33.67,-76.5,29.94040741,0.38
7/14/2016,33.67,-76.5,29.85915825,0.374074074
7/15/2016,33.67,-76.5,29.94083838,0.374747475
7/16/2016,33.67,-76.5,30.01236027,0.382727273
7/17/2016,33.67,-76.5,29.91518519,0.386969697
7/18/2016,33.67,-76.5,29.74611785,0.383804714
7/19/2016,33.67,-76.5,29.67105051,0.38
7/20/2016,33.67,-76.5,29.53522559,0.382861953
7/21/2016,33.67,-76.5,29.55130976,0.376296296
7/22/2016,33.67,-76.5,29.60977441,0.370572391
7/23/2016,33.67,-76.5,29.73312121,0.372962963
7/24/2016,33.67,-76.5,29.75085522,0.381447811
7/25/2016,33.67,-76.5,29.73218519,0.382356902
7/26/2016,33.67,-76.5,29.83024579,0.38
7/27/2016,33.67,-76.5,29.86791582,0.38
7/28/2016,33.67,-76.5,30.01925253,0.371818182
7/29/2016,33.67,-76.5,29.97309764,0.371111111
7/30/2016,33.67,-76.5,29.87111448,0.370875421
7/31/2016,33.67,-76.5,30.09663636,0.378888889
8/1/2016,33.67,-76.5,30.15012458,0.381414141
8/2/2016,33.67,-76.5,30.2873771,0.39
8/3/2016,33.67,-76.5,29.96851852,0.39
8/4/2016,33.67,-76.5,28.91949832,0.385993266
8/5/2016,33.67,-76.5,28.7933266,0.387037037
8/6/2016,33.67,-76.5,28.76310438,0.382457912
8/7/2016,33.67,-76.5,28.82883165,0.38
8/8/2016,33.67,-76.5,29.09918182,0.382154882
8/9/2016,33.67,-76.5,29.35510774,0.38
8/10/2016,33.67,-76.5,29.36000673,0.38
8/11/2016,33.67,-76.5,29.27416498,0.38
8/12/2016,33.67,-76.5,29.29566667,0.382592593
8/13/2016,33.67,-76.5,29.89991919,0.38
8/14/2016,33.67,-76.5,30.03600673,0.376902357
8/15/2016,33.67,-76.5,30.2119697,0.37
8/16/2016,33.67,-76.5,29.95206397,0.372424242
8/17/2016,33.67,-76.5,29.85621886,0.38
8/18/2016,33.67,-76.5,29.7940101,0.38
8/19/2016,33.67,-76.5,29.79557912,0.386397306
8/20/2016,33.67,-76.5,29.53516162,0.386161616
8/21/2016,33.67,-76.5,29.47036364,0.381447811
8/22/2016,33.67,-76.5,29.82979125,0.38
8/23/2016,33.67,-76.5,30.15284512,0.379326599
8/24/2016,33.67,-76.5,30.03355219,0.382323232
8/25/2016,33.67,-76.5,29.59660606,0.38
8/26/2016,33.67,-76.5,29.54049158,0.371649832
8/27/2016,33.67,-76.5,29.29015825,0.375555556
8/28/2016,33.67,-76.5,29.27438384,0.386228956
8/29/2016,33.67,-76.5,29.19955556,0.389461279
8/30/2016,33.67,-76.5,29.11899327,0.391818182
8/31/2016,33.67,-76.5,29.10923906,0.4
9/1/2016,33.67,-76.5,28.96302357,0.4
9/2/2016,33.67,-76.5,28.56238721,0.407138047
9/3/2016,33.67,-76.5,27.93358923,0.4
9/4/2016,33.67,-76.5,27.42320875,0.4
9/5/2016,33.67,-76.5,27.1376835,0.395959596
9/6/2016,33.67,-76.5,27.18811111,0.387676768
9/7/2016,33.67,-76.5,27.57618182,0.382760943
9/8/2016,33.67,-76.5,28.21440404,0.383400673
9/9/2016,33.67,-76.5,28.75568013,0.381717172
9/10/2016,33.67,-76.5,28.77706061,0.379461279
9/11/2016,33.67,-76.5,28.63519529,0.383838384
9/12/2016,33.67,-76.5,27.83186532,0.387744108
9/13/2016,33.67,-76.5,27.68742761,0.39
9/14/2016,33.67,-76.5,27.74481481,0.398720539
9/15/2016,33.67,-76.5,27.95209091,0.398585859
9/16/2016,33.67,-76.5,28.29850168,0.383434343
9/17/2016,33.67,-76.5,28.24450168,0.379090909
9/18/2016,33.67,-76.5,28.19604377,0.378451178
9/19/2016,33.67,-76.5,28.22194276,0.38003367
9/20/2016,33.67,-76.5,28.34099663,0.385286195
9/21/2016,33.67,-76.5,28.78593266,0.385555556
9/22/2016,33.67,-76.5,28.84594949,0.386262626
9/23/2016,33.67,-76.5,28.86726263,0.385117845
9/24/2016,33.67,-76.5,29.12737037,0.378417508
9/25/2016,33.67,-76.5,29.34723232,0.375589226
9/26/2016,33.67,-76.5,29.32547811,0.38
9/27/2016,33.67,-76.5,28.50077104,0.388282828
9/28/2016,33.67,-76.5,27.94152525,0.372457912
9/29/2016,33.67,-76.5,28.04420875,0.371784512
9/30/2016,33.67,-76.5,28.19953199,0.381784512
10/1/2016,33.67,-76.5,28.64889226,0.390774411
10/2/2016,33.67,-76.5,28.67743098,0.394175084
10/3/2016,33.67,-76.5,28.55556566,0.398888889
10/4/2016,33.67,-76.5,28.22651178,0.4
10/5/2016,33.67,-76.5,28.17038047,0.39952862
10/6/2016,33.67,-76.5,28.03801684,0.398013468
10/7/2016,33.67,-76.5,28.02668013,0.402356902
10/8/2016,33.67,-76.5,27.42908418,0.40047138
10/9/2016,33.67,-76.5,27.15858586,0.394579125
10/10/2016,33.67,-76.5,27.12762626,0.39013468
10/11/2016,33.67,-76.5,27.12591919,0.394444444
10/12/2016,33.67,-76.5,27.59869697,0.39
10/13/2016,33.67,-76.5,27.80393266,0.380942761
10/14/2016,33.67,-76.5,27.75601347,0.373636364
10/15/2016,33.67,-76.5,27.55981145,0.382457912
10/16/2016,33.67,-76.5,26.76210774,0.38
10/17/2016,33.67,-76.5,26.8130101,0.377070707
10/18/2016,33.67,-76.5,27.10834007,0.371717172
10/19/2016,33.67,-76.5,27.16067677,0.375521886
10/20/2016,33.67,-76.5,27.24709091,0.38
10/21/2016,33.67,-76.5,27.59152189,0.382525253
10/22/2016,33.67,-76.5,27.67467003,0.38
10/23/2016,33.67,-76.5,27.81682155,0.373333333
10/24/2016,33.67,-76.5,27.82739057,0.37
10/25/2016,33.67,-76.5,27.59361279,0.374242424
10/26/2016,33.67,-76.5,27.4347037,0.384208754
10/27/2016,33.67,-76.5,27.15991582,0.383367003
10/28/2016,33.67,-76.5,27.06396633,0.384107744
10/29/2016,33.67,-76.5,27.61918519,0.387575758
10/30/2016,33.67,-76.5,27.84480808,0.38
10/31/2016,33.67,-76.5,27.86346128,0.377373737
11/1/2016,33.67,-76.5,27.74152189,0.38
11/2/2016,33.67,-76.5,26.83549158,0.384915825
11/3/2016,33.67,-76.5,26.50341751,0.38
11/4/2016,33.67,-76.5,26.44852862,0.38
11/5/2016,33.67,-76.5,27.01310101,0.38
11/6/2016,33.67,-76.5,26.96553535,0.37020202
11/7/2016,33.67,-76.5,26.88085522,0.37006734
11/8/2016,33.67,-76.5,26.62818182,0.38003367
11/9/2016,33.67,-76.5,26.63142761,0.388855219
11/10/2016,33.67,-76.5,27.02644781,0.376868687
11/11/2016,33.67,-76.5,27.05030303,0.37
11/12/2016,33.67,-76.5,27.1149596,0.378080808
11/13/2016,33.67,-76.5,26.95709428,0.39
11/14/2016,33.67,-76.5,26.16064646,0.39
11/15/2016,33.67,-76.5,26.14207071,0.38
11/16/2016,33.67,-76.5,26.24383165,0.374377104
11/17/2016,33.67,-76.5,26.75048485,0.373535354
11/18/2016,33.67,-76.5,26.84883502,0.37
11/19/2016,33.67,-76.5,26.83251852,0.37
11/20/2016,33.67,-76.5,26.47480135,0.377710438
11/21/2016,33.67,-76.5,26.50005724,0.374680135
11/22/2016,33.67,-76.5,26.31541751,0.372424242
11/23/2016,33.67,-76.5,26.10846465,0.38
11/24/2016,33.67,-76.5,26.03751515,0.378720539
11/25/2016,33.67,-76.5,26.16796633,0.378989899
11/26/2016,33.67,-76.5,26.16192593,0.385892256
11/27/2016,33.67,-76.5,25.89970034,0.394276094
11/28/2016,33.67,-76.5,25.45674747,0.394276094
11/29/2016,33.67,-76.5,25.37846128,0.393939394
11/30/2016,33.67,-76.5,25.76758586,0.395387205
12/1/2016,33.67,-76.5,26.30265657,0.39
12/2/2016,33.67,-76.5,26.5039596,0.388013468
12/3/2016,33.67,-76.5,26.58588215,0.39
12/4/2016,33.67,-76.5,26.4949798,0.4
12/5/2016,33.67,-76.5,25.98248485,0.397676768
12/6/2016,33.67,-76.5,26.06645791,0.383131313
12/7/2016,33.67,-76.5,26.12319529,0.378013468
12/8/2016,33.67,-76.5,26.05927946,0.38
12/9/2016,33.67,-76.5,26.01730303,0.386936027
12/10/2016,33.67,-76.5,26.06690909,0.373030303
12/11/2016,33.67,-76.5,26.01458923,0.371313131
12/12/2016,33.67,-76.5,25.67677441,0.379158249
12/13/2016,33.67,-76.5,25.24869697,0.383737374
12/14/2016,33.67,-76.5,24.857633,0.386363636
12/15/2016,33.67,-76.5,24.75179461,0.388484848
12/16/2016,33.67,-76.5,24.63022559,0.389427609
12/17/2016,33.67,-76.5,24.42907407,0.395656566
12/18/2016,33.67,-76.5,24.43933333,0.397171717
12/19/2016,33.67,-76.5,25.34129293,0.400976431
12/20/2016,33.67,-76.5,25.47776094,0.395521886
12/21/2016,33.67,-76.5,25.55807071,0.385353535
12/22/2016,33.67,-76.5,25.54331987,0.376262626
12/23/2016,33.67,-76.5,25.49159596,0.38
12/24/2016,33.67,-76.5,25.47769697,0.387239057
12/25/2016,33.67,-76.5,24.92946128,0.386565657
12/26/2016,33.67,-76.5,24.85951515,0.39
12/27/2016,33.67,-76.5,24.7146936,0.4
12/28/2016,33.67,-76.5,24.87425926,0.389158249
12/29/2016,33.67,-76.5,24.87405724,0.387777778
12/30/2016,33.67,-76.5,24.69376094,0.391986532
12/31/2016,33.67,-76.5,24.31908081,0.4
1/1/2017,33.67,-76.5,24.78806061,0.400942761
1/2/2017,33.67,-76.5,25.03527609,0.403232323
1/3/2017,33.67,-76.5,24.99969024,0.403131313
1/4/2017,33.67,-76.5,25.27657912,0.403569024
1/5/2017,33.67,-76.5,25.13071717,0.401481481
1/6/2017,33.67,-76.5,24.75260943,0.408383838
1/7/2017,33.67,-76.5,23.91580808,0.41
1/8/2017,33.67,-76.5,24.12677778,0.382693603
1/9/2017,33.67,-76.5,24.10498316,0.391077441
1/10/2017,33.67,-76.5,24.54609428,0.391212121
1/11/2017,33.67,-76.5,25.0996532,0.391010101
1/12/2017,33.67,-76.5,24.92847475,0.384646465
1/13/2017,33.67,-76.5,25.00156902,0.385319865
1/14/2017,33.67,-76.5,24.9939596,0.394040404
1/15/2017,33.67,-76.5,24.86338384,0.4
1/16/2017,33.67,-76.5,24.75439394,0.398080808
1/17/2017,33.67,-76.5,24.93476768,0.396767677
1/18/2017,33.67,-76.5,25.07089899,0.393434343
1/19/2017,33.67,-76.5,25.11501684,0.385286195
1/20/2017,33.67,-76.5,24.95808081,0.383703704
1/21/2017,33.67,-76.5,24.69764983,0.387575758
1/22/2017,33.67,-76.5,24.03148148,0.390808081
1/23/2017,33.67,-76.5,24.24874411,0.397003367
1/24/2017,33.67,-76.5,24.49192256,0.385016835
1/25/2017,33.67,-76.5,24.73387542,0.373030303
1/26/2017,33.67,-76.5,24.71778114,0.370639731
1/27/2017,33.67,-76.5,24.75991582,0.38
1/28/2017,33.67,-76.5,24.42523569,0.4
1/29/2017,33.67,-76.5,22.94337374,0.4
1/30/2017,33.67,-76.5,22.74047811,0.391144781
1/31/2017,33.67,-76.5,22.943367,0.383232323
2/1/2017,33.67,-76.5,23.49013131,0.375353535
2/2/2017,33.67,-76.5,23.7643367,0.371414141
2/3/2017,33.67,-76.5,23.93472054,0.378720539
2/4/2017,33.67,-76.5,24.29937037,0.385151515
2/5/2017,33.67,-76.5,24.29105724,0.377912458
2/6/2017,33.67,-76.5,24.33355892,0.374141414
2/7/2017,33.67,-76.5,24.57655219,0.38
2/8/2017,33.67,-76.5,24.26653535,0.386936027
2/9/2017,33.67,-76.5,23.84862626,0.385050505
2/10/2017,33.67,-76.5,23.0502963,0.384713805
2/11/2017,33.67,-76.5,22.65784848,0.383838384
2/12/2017,33.67,-76.5,21.90686195,0.382996633
2/13/2017,33.67,-76.5,22.2420404,0.379427609
2/14/2017,33.67,-76.5,22.90561279,0.385454545
2/15/2017,33.67,-76.5,24.06546465,0.385622896
2/16/2017,33.67,-76.5,24.36217508,0.374949495
2/17/2017,33.67,-76.5,24.44530976,0.37
2/18/2017,33.67,-76.5,24.58140067,0.372558923
2/19/2017,33.67,-76.5,24.68594949,0.372323232
2/20/2017,33.67,-76.5,24.69839394,0.37003367
2/21/2017,33.67,-76.5,24.60202357,0.377811448
2/22/2017,33.67,-76.5,24.28807407,0.39
2/23/2017,33.67,-76.5,24.64700337,0.393164983
2/24/2017,33.67,-76.5,24.86470034,0.38
2/25/2017,33.67,-76.5,24.8210303,0.37
2/26/2017,33.67,-76.5,24.77345118,0.368383838
