tbin,Count_Click,Count_Bin,Effort_Bin,Effort_Sec,PreAbs
29-Apr-2016 00:00:00,NaN,NaN,12,3600,0
29-Apr-2016 01:00:00,NaN,NaN,12,3600,0
29-Apr-2016 02:00:00,NaN,NaN,12,3600,0
29-Apr-2016 03:00:00,NaN,NaN,12,3600,0
29-Apr-2016 04:00:00,NaN,NaN,12,3600,0
29-Apr-2016 05:00:00,NaN,NaN,12,3600,0
29-Apr-2016 06:00:00,NaN,NaN,12,3600,0
29-Apr-2016 07:00:00,NaN,NaN,12,3600,0
29-Apr-2016 08:00:00,NaN,NaN,12,3600,0
29-Apr-2016 09:00:00,NaN,NaN,12,3600,0
29-Apr-2016 10:00:00,NaN,NaN,12,3600,0
29-Apr-2016 11:00:00,NaN,NaN,12,3600,0
29-Apr-2016 12:00:00,NaN,NaN,12,3600,0
29-Apr-2016 13:00:00,NaN,NaN,12,3600,0
29-Apr-2016 14:00:00,NaN,NaN,12,3600,0
29-Apr-2016 15:00:00,3,1,12,3600,1
29-Apr-2016 16:00:00,0,0,12,3600,0
29-Apr-2016 17:00:00,0,0,12,3600,0
29-Apr-2016 18:00:00,0,0,12,3600,0
29-Apr-2016 19:00:00,0,0,12,3600,0
29-Apr-2016 20:00:00,0,0,12,3600,0
29-Apr-2016 21:00:00,0,0,12,3600,0
29-Apr-2016 22:00:00,0,0,12,3600,0
29-Apr-2016 23:00:00,0,0,12,3600,0
30-Apr-2016 00:00:00,0,0,12,3600,0
30-Apr-2016 01:00:00,0,0,12,3600,0
30-Apr-2016 02:00:00,0,0,12,3600,0
30-Apr-2016 03:00:00,0,0,12,3600,0
30-Apr-2016 04:00:00,0,0,12,3600,0
30-Apr-2016 05:00:00,0,0,12,3600,0
30-Apr-2016 06:00:00,0,0,12,3600,0
30-Apr-2016 07:00:00,0,0,12,3600,0
30-Apr-2016 08:00:00,0,0,12,3600,0
30-Apr-2016 09:00:00,0,0,12,3600,0
30-Apr-2016 10:00:00,0,0,12,3600,0
30-Apr-2016 11:00:00,0,0,12,3600,0
30-Apr-2016 12:00:00,0,0,12,3600,0
30-Apr-2016 13:00:00,0,0,12,3600,0
30-Apr-2016 14:00:00,4,1,12,3600,1
30-Apr-2016 15:00:00,0,0,12,3600,0
30-Apr-2016 16:00:00,0,0,12,3600,0
30-Apr-2016 17:00:00,0,0,12,3600,0
30-Apr-2016 18:00:00,0,0,12,3600,0
30-Apr-2016 19:00:00,0,0,12,3600,0
30-Apr-2016 20:00:00,0,0,12,3600,0
30-Apr-2016 21:00:00,0,0,12,3600,0
30-Apr-2016 22:00:00,0,0,12,3600,0
30-Apr-2016 23:00:00,0,0,12,3600,0
01-May-2016 00:00:00,0,0,12,3600,0
01-May-2016 01:00:00,0,0,12,3600,0
01-May-2016 02:00:00,0,0,12,3600,0
01-May-2016 03:00:00,0,0,12,3600,0
01-May-2016 04:00:00,0,0,12,3600,0
01-May-2016 05:00:00,40,2,12,3600,1
01-May-2016 06:00:00,114,7,12,3600,1
01-May-2016 07:00:00,0,0,12,3600,0
01-May-2016 08:00:00,16,2,12,3600,1
01-May-2016 09:00:00,8,2,12,3600,1
01-May-2016 10:00:00,0,0,12,3600,0
01-May-2016 11:00:00,0,0,12,3600,0
01-May-2016 12:00:00,0,0,12,3600,0
01-May-2016 13:00:00,0,0,11,3300,0
01-May-2016 14:00:00,0,0,24,7200,0
01-May-2016 15:00:00,0,0,36,10800,0
01-May-2016 16:00:00,13,3,36,10800,1
01-May-2016 17:00:00,5,2,36,10800,1
01-May-2016 18:00:00,46,8,36,10800,1
01-May-2016 19:00:00,42,3,24,7200,1
01-May-2016 20:00:00,11,3,36,10800,1
01-May-2016 21:00:00,2,1,36,10800,1
01-May-2016 22:00:00,0,0,36,10800,0
01-May-2016 23:00:00,0,0,24,7200,0
02-May-2016 00:00:00,0,0,36,10800,0
02-May-2016 01:00:00,0,0,36,10800,0
02-May-2016 02:00:00,0,0,36,10800,0
02-May-2016 03:00:00,0,0,36,10800,0
02-May-2016 04:00:00,0,0,36,10800,0
02-May-2016 05:00:00,0,0,36,10800,0
02-May-2016 06:00:00,0,0,36,10800,0
02-May-2016 07:00:00,0,0,36,10800,0
02-May-2016 08:00:00,65,3,36,10800,1
02-May-2016 09:00:00,0,0,36,10800,0
02-May-2016 10:00:00,47,5,33,9900,1
02-May-2016 11:00:00,14,3,27,8100,1
02-May-2016 12:00:00,539,8,36,10800,1
02-May-2016 13:00:00,650,8,36,10800,1
02-May-2016 14:00:00,534,9,36,10800,1
02-May-2016 15:00:00,120,10,36,10800,1
02-May-2016 16:00:00,0,0,36,10800,0
02-May-2016 17:00:00,0,0,36,10800,0
02-May-2016 18:00:00,0,0,36,10800,0
02-May-2016 19:00:00,4,1,36,10800,1
02-May-2016 20:00:00,0,0,36,10800,0
02-May-2016 21:00:00,0,0,36,10800,0
02-May-2016 22:00:00,0,0,36,10800,0
02-May-2016 23:00:00,0,0,36,10800,0
03-May-2016 00:00:00,0,0,36,10800,0
03-May-2016 01:00:00,0,0,36,10800,0
03-May-2016 02:00:00,0,0,36,10800,0
03-May-2016 03:00:00,0,0,36,10800,0
03-May-2016 04:00:00,0,0,36,10800,0
03-May-2016 05:00:00,0,0,36,10800,0
03-May-2016 06:00:00,0,0,36,10800,0
03-May-2016 07:00:00,0,0,36,10800,0
03-May-2016 08:00:00,0,0,36,10800,0
03-May-2016 09:00:00,0,0,12,3600,0
03-May-2016 11:00:00,0,0,9,2700,0
03-May-2016 12:00:00,0,0,36,10800,0
03-May-2016 13:00:00,0,0,36,10800,0
03-May-2016 14:00:00,0,0,36,10800,0
03-May-2016 15:00:00,0,0,36,10800,0
03-May-2016 16:00:00,0,0,36,10800,0
03-May-2016 17:00:00,0,0,36,10800,0
03-May-2016 18:00:00,0,0,36,10800,0
03-May-2016 19:00:00,0,0,36,10800,0
03-May-2016 20:00:00,0,0,36,10800,0
03-May-2016 21:00:00,0,0,36,10800,0
03-May-2016 22:00:00,0,0,36,10800,0
03-May-2016 23:00:00,0,0,36,10800,0
04-May-2016 00:00:00,0,0,36,10800,0
04-May-2016 01:00:00,0,0,36,10800,0
04-May-2016 02:00:00,0,0,36,10800,0
04-May-2016 03:00:00,0,0,36,10800,0
04-May-2016 04:00:00,0,0,36,10800,0
04-May-2016 05:00:00,0,0,36,10800,0
04-May-2016 06:00:00,0,0,36,10800,0
04-May-2016 07:00:00,0,0,36,10800,0
04-May-2016 08:00:00,0,0,36,10800,0
04-May-2016 09:00:00,0,0,36,10800,0
04-May-2016 10:00:00,0,0,36,10800,0
04-May-2016 11:00:00,0,0,36,10800,0
04-May-2016 12:00:00,0,0,36,10800,0
04-May-2016 13:00:00,0,0,36,10800,0
04-May-2016 14:00:00,0,0,36,10800,0
04-May-2016 15:00:00,0,0,36,10800,0
04-May-2016 16:00:00,0,0,36,10800,0
04-May-2016 17:00:00,0,0,36,10800,0
04-May-2016 18:00:00,0,0,36,10800,0
04-May-2016 19:00:00,0,0,36,10800,0
04-May-2016 20:00:00,0,0,36,10800,0
04-May-2016 21:00:00,4,1,36,10800,1
04-May-2016 22:00:00,2,1,36,10800,1
04-May-2016 23:00:00,0,0,36,10800,0
05-May-2016 00:00:00,0,0,36,10800,0
05-May-2016 01:00:00,1,1,36,10800,1
05-May-2016 02:00:00,0,0,36,10800,0
05-May-2016 03:00:00,0,0,36,10800,0
05-May-2016 04:00:00,27,2,36,10800,1
05-May-2016 05:00:00,11,2,36,10800,1
05-May-2016 06:00:00,86,4,36,10800,1
05-May-2016 07:00:00,63,3,36,10800,1
05-May-2016 08:00:00,48,2,36,10800,1
