Start,End
735722.2819,735722.3526
735722.3924,735722.3942
735723.2765,735723.2823
735723.3276,735723.339
735723.3745,735723.3749
735723.4584,735723.4627
735724.4161,735724.4166
735729.5074,735729.518
735733.0084,735733.0084
735733.3475,735733.3495
735733.8929,735733.8929
735743.4471,735743.4483
735743.4715,735743.486
735743.5535,735743.5923
735743.6637,735743.665
735743.709,735743.7122
735744.0526,735744.0526
735797.0083,735797.0223
735797.0532,735797.0532
735797.085,735797.085
735814.8131,735814.8132
735832.3768,735832.3769
735832.416,735832.416
735832.4441,735832.4442
