Start,End
9/21/2013 5:30,9/21/2013 5:48
10/22/2013 18:02,10/22/2013 18:34
10/31/2013 2:37,10/31/2013 3:04
11/3/2013 0:33,11/3/2013 0:47
11/3/2013 14:24,11/3/2013 14:35
11/4/2013 0:22,11/4/2013 0:38
11/4/2013 1:57,11/4/2013 2:21
11/4/2013 5:21,11/4/2013 5:27
11/4/2013 23:11,11/4/2013 23:37
11/5/2013 4:24,11/5/2013 5:56
11/6/2013 22:53,11/6/2013 23:33
11/7/2013 2:54,11/7/2013 3:34
11/7/2013 3:57,11/7/2013 4:21
11/7/2013 7:30,11/7/2013 8:09
11/7/2013 11:32,11/7/2013 12:48
11/13/2013 2:48,11/13/2013 4:02
11/13/2013 5:42,11/13/2013 10:19
11/13/2013 22:15,11/13/2013 22:35
11/14/2013 1:47,11/14/2013 2:03
11/14/2013 2:42,11/14/2013 2:54
11/14/2013 5:01,11/14/2013 6:16
11/14/2013 10:25,11/14/2013 11:47
11/14/2013 20:09,11/14/2013 20:21
11/15/2013 1:13,11/15/2013 1:28
11/15/2013 6:10,11/15/2013 6:18
11/15/2013 14:32,11/15/2013 18:39
11/16/2013 21:29,11/16/2013 21:30
11/16/2013 22:47,11/16/2013 23:01
11/17/2013 11:25,11/17/2013 11:34
11/17/2013 18:24,11/17/2013 19:34
11/18/2013 0:24,11/18/2013 0:48
11/18/2013 4:03,11/18/2013 4:43
11/18/2013 14:36,11/18/2013 16:03
11/18/2013 16:11,11/18/2013 20:03
11/18/2013 23:28,11/19/2013 3:58
11/20/2013 1:48,11/20/2013 2:12
11/20/2013 13:22,11/20/2013 14:16
11/20/2013 15:42,11/20/2013 17:29
11/20/2013 21:13,11/20/2013 22:01
11/21/2013 0:17,11/21/2013 1:32
11/21/2013 5:11,11/21/2013 5:32
11/21/2013 13:03,11/21/2013 13:16
11/21/2013 23:35,11/21/2013 23:43
11/22/2013 19:21,11/22/2013 19:21
11/23/2013 0:45,11/23/2013 1:16
11/23/2013 1:45,11/23/2013 1:48
11/23/2013 2:08,11/23/2013 2:14
11/23/2013 4:55,11/23/2013 6:37
11/23/2013 7:27,11/23/2013 10:36
11/24/2013 3:09,11/24/2013 3:42
11/24/2013 8:06,11/24/2013 10:29
11/26/2013 2:27,11/26/2013 2:35
11/26/2013 12:56,11/26/2013 13:15
11/26/2013 14:04,11/26/2013 15:22
11/26/2013 17:31,11/26/2013 17:43
11/26/2013 20:30,11/26/2013 21:48
11/26/2013 22:37,11/27/2013 0:20
11/27/2013 3:09,11/27/2013 4:00
11/27/2013 4:24,11/27/2013 5:50
11/27/2013 11:40,11/27/2013 17:35
11/27/2013 23:06,11/27/2013 23:30
11/28/2013 14:27,11/28/2013 14:44
11/29/2013 9:19,11/29/2013 10:48
11/30/2013 12:14,11/30/2013 12:50
12/1/2013 3:10,12/1/2013 3:24
12/1/2013 4:38,12/1/2013 5:03
12/1/2013 21:19,12/1/2013 22:12
12/2/2013 2:00,12/2/2013 2:49
12/2/2013 4:08,12/2/2013 5:09
12/3/2013 20:35,12/3/2013 21:27
12/4/2013 5:40,12/4/2013 6:57
12/5/2013 2:07,12/5/2013 2:09
12/5/2013 5:33,12/5/2013 8:00
12/5/2013 9:09,12/5/2013 11:45
12/6/2013 2:12,12/6/2013 4:13
12/6/2013 14:42,12/6/2013 15:17
12/6/2013 15:59,12/6/2013 16:00
12/6/2013 22:00,12/6/2013 22:33
12/7/2013 5:34,12/7/2013 6:31
12/7/2013 11:15,12/7/2013 11:55
12/7/2013 15:45,12/7/2013 16:32
12/8/2013 5:16,12/8/2013 7:17
12/8/2013 8:01,12/8/2013 8:56
12/9/2013 2:58,12/9/2013 8:34
12/9/2013 11:38,12/9/2013 12:22
12/9/2013 15:21,12/9/2013 17:01
12/11/2013 12:47,12/11/2013 12:50
12/11/2013 14:59,12/11/2013 16:13
12/11/2013 17:00,12/11/2013 17:01
12/13/2013 5:27,12/13/2013 6:14
12/13/2013 21:08,12/13/2013 21:41
12/14/2013 1:16,12/14/2013 3:01
12/16/2013 22:52,12/17/2013 2:22
12/17/2013 10:00,12/17/2013 10:48
12/21/2013 16:10,12/21/2013 19:37
12/22/2013 6:31,12/22/2013 6:48
12/22/2013 20:03,12/22/2013 20:05
12/23/2013 23:32,12/24/2013 0:12
12/24/2013 3:19,12/24/2013 3:46
12/24/2013 5:02,12/24/2013 6:59
12/25/2013 20:38,12/26/2013 6:25
12/26/2013 21:50,12/26/2013 21:51
12/27/2013 15:44,12/27/2013 17:04
12/27/2013 18:07,12/27/2013 19:12
12/27/2013 19:45,12/27/2013 23:56
12/28/2013 21:41,12/29/2013 0:04
12/29/2013 19:20,12/29/2013 20:32
12/29/2013 23:46,12/30/2013 1:00
12/30/2013 14:43,12/30/2013 16:10
